tconst	directors
tt10097980	\N
tt10098048	nm10580736
tt10098060	nm5639895
tt10098112	\N
tt10098134	nm1645156
tt10098248	nm1791155
tt10098288	nm3155648
tt10098352	nm3715496
tt10098374	nm1195117
tt10098398	nm3670911
tt10098412	nm0840916
tt10098442	nm10073192
tt10098472	nm1213232
tt10098494	nm10581102,nm2663329,nm10581101
tt10100140	nm4940617
tt10100196	nm1658166
tt10100274	nm2539790
tt10100324	nm5263737
tt10100344	nm8782631
tt10100506	nm3372295,nm3374048
tt10100568	\N
tt10100620	\N
tt10100664	nm3783212
tt10100678	nm1778801,nm5282122
tt10100842	nm10567807
tt10100966	nm2321778
tt10101054	nm10579548
tt10101082	nm8701271
tt10101166	nm1934273
tt10101196	nm1496101
tt10101296	nm10582139
tt10101342	nm10582289,nm10582288
tt10101346	nm10582295,nm10110788,nm1171314
tt10101582	nm3725059
tt10101666	nm6196268
tt10101702	\N
tt10101774	nm3401440
tt10101782	nm10582613,nm0896139
tt10101810	nm4962765,nm0329252
tt10101846	nm3629099
tt10101904	nm0787933
tt10101954	nm5793201
tt10102174	\N
tt10102182	\N
tt10102192	nm8862368
tt10102250	nm7997234
tt10102292	nm9403278
tt10102296	nm10583040
tt10102306	nm5159794
tt10102322	nm10583069
tt10102328	nm5862834
tt10102350	nm5717949
tt10102356	nm9785836
tt10102408	nm0691626
tt1010248	nm0250536,nm1442873
tt10102490	nm8698556
tt10102782	nm8414371
tt10102818	nm3347325
tt10102826	nm7956716
tt10103138	nm2027880
tt10105306	nm1128848
tt10105438	nm2035480
tt10105850	nm10584178
tt10106082	nm5654268
tt10106144	nm10584302,nm10537550
tt10106268	nm10215656
tt10106368	nm3191853
tt10106394	nm0500596
tt10106416	nm8983758
tt10106604	nm10580660
tt10106616	nm2143782
tt10106712	nm2568923
tt10106734	nm10584889
tt10106812	nm2445807
tt10106822	nm7652064
tt10106848	nm10584922
tt10107012	nm2686289
tt10107208	nm10585108
tt10107410	nm7515701
tt10107482	nm5730005
tt10107594	nm2080396
tt10107868	nm6687261
tt10107882	nm9241500
tt10108062	nm8742444
tt10108068	nm3784756,nm8420290,nm10585329,nm2465157,nm0218838
tt10108074	nm10460046
tt10108256	nm7821194
tt10108286	nm0616567
tt10108358	nm2432577
tt10108544	nm0355126
tt10108854	nm5857646
tt10109262	\N
tt10109694	nm2415224
tt10109750	nm1754495
tt10109752	nm9886432
tt10109836	nm2159386
tt10109922	nm3078249
tt10109932	nm10585899
tt10109980	nm7208592
tt10109982	nm10585937
tt10110022	nm0873608
tt10110180	nm6382356
tt10110258	nm10161785
tt10110742	nm10586452
tt10110794	nm0720109
tt10110856	nm1181727
tt10110872	nm4054920
tt10110912	nm1672174
tt10111116	nm10586624
tt10111180	nm3235413
tt10111182	nm7384368
tt10111188	nm4516444
tt10111198	nm7135571
tt10111222	nm6667436
tt10111404	nm8276431
tt10111436	nm10586890
tt10111484	nm9058573
tt10111568	nm1025033
tt10111576	nm2081524
tt10111580	nm6508811
tt10111630	nm10587024
tt10111746	nm1335080
tt10111920	nm0886054,nm0894893
tt10111948	nm1011961
tt10112020	nm7132523
tt10112032	nm6697009
tt10112148	nm1357038
tt10112154	nm10587253
tt10112218	nm10587295
tt10112332	nm10587364,nm10587365
tt10112336	nm3079036
tt10112350	nm10587391,nm10587390
tt10112464	nm0389415
tt10112466	\N
tt10113372	nm10587707
tt10114302	nm0840934
tt10114442	nm2749463
tt10115002	nm4684002
tt10115110	nm1037528
tt10115160	nm5635696
tt10115300	nm6409888
tt10115314	nm6021959
tt10115316	nm1053837
tt10115340	nm6021959
tt10115436	\N
tt10115438	\N
tt10115494	nm0316054
tt10115562	nm0393394
tt10115628	nm0461776
tt10115638	nm0094730
tt10115640	nm7536093
tt10115644	nm4191487
tt10115840	nm2400591,nm4879716
tt10116038	nm10155991
tt10116478	nm4392664
tt10116482	nm4832407
tt10116488	nm5515655
tt10116528	nm10589170
tt10116554	nm10589189
tt10116566	nm5597047
tt10116998	nm8186647
tt10117038	nm8186647
tt10117046	nm7504975
tt10117134	nm10076696
tt10117174	nm0699654
tt10117180	nm6149018
tt10117320	nm10590000,nm1987103
tt10117402	nm2651387
tt10117520	nm10590182
tt10117554	nm9387874
tt10117768	nm1268012,nm1425885
tt10118052	nm10590426
tt10118064	nm2366197
tt10118092	nm10590488
tt10118134	nm8276431
tt10118270	nm8349149,nm9272490
tt10118768	nm4420789
tt10119550	\N
tt10119846	\N
tt10120472	nm0006395
tt10120604	nm10591226
tt10120824	nm8188412
tt10120830	nm4996838,nm4729186
tt10121022	nm7742644
tt10121028	nm7070171
tt10121110	nm0023481
tt10121212	nm10591226
tt10121294	nm6881515
tt10121372	nm0914166,nm6714903
tt10121442	\N
tt10121508	nm5722027
tt10121610	nm11052953,nm7060704
tt10121702	nm4626339
tt10121762	nm7373491
tt10121852	nm10592182
tt10121894	nm10592206
tt10122038	nm10592284
tt10122042	nm10592286
tt10122300	nm10592435,nm6260900
tt10122334	nm4143413
tt10122392	nm1597629
tt10122496	nm3576504
tt10122502	nm10354531
tt10122504	nm2165634
tt10122514	nm10354531
tt10122528	nm10354531
tt10122618	nm7867836
tt10122846	nm4807264
tt10122930	nm6434218
tt10123034	nm1234619
tt10123698	nm0023517
tt10124172	nm1181727
tt10124442	nm4285976,nm4285606
tt10124714	nm0807033
tt10125260	nm7889668
tt10125522	nm9390899
tt10125562	nm2546018
tt10125574	nm2312334,nm0046366
tt10125578	nm3563885
tt10125662	nm7249446
tt10125676	nm5945260
tt10125678	nm6119329
tt10125706	nm2471161
tt10125774	nm4062509
tt10125830	nm10593731
tt10125972	nm0095745
tt10125986	nm1963808
tt10126052	nm10593917
tt10126136	nm1137907
tt10126230	nm10594095
tt10126338	nm0221642
tt10126434	nm2063694
tt10126462	nm5954636
tt10126496	nm3691130
tt10126572	nm8587791
tt10126628	nm0403225
tt10126682	nm10594390,nm10594391
tt10126780	nm4238738
tt10126858	nm1216178
tt10127228	nm1963808
tt10127274	nm10594636
tt10127302	nm7445000
tt10127410	nm0620378
tt10127546	\N
tt10127562	nm0945724
tt10127628	nm10594868
tt10127634	nm9805975
tt10127684	nm0545356
tt10127696	nm10438141
tt10127708	nm1438231,nm1027519
tt10127746	nm10594913
tt10127760	nm2025683
tt10127774	nm2866915,nm10592867
tt10127790	nm2463104
tt10128322	nm6271065
tt10128354	nm10595393
tt10128378	nm2732635
tt10128580	nm5208683,nm7527861
tt10128920	nm3008352
tt10129040	nm3151947
tt10129080	nm7844687,nm10595527
tt10129140	nm5547913
tt10129316	nm0184193
tt10129362	nm0815946
tt10129414	nm4670807
tt10129422	nm10595599
tt10129678	nm1951121
tt10129824	nm2240132
tt10129868	nm0889531
tt10129872	nm9961741
tt10130058	nm0554076
tt10130830	nm9970043
tt10130954	nm10596054
tt10131150	nm6872141
tt10131230	nm3680011
tt10131518	nm8193067
tt10131612	nm2045606
tt10131762	nm5214760
