Quartier;Libellé;Largeur;Longueur;Arrondissement;Début;Fin
Charonne.;voie EF/20;10.0;130.0;XXe;place de la Porte de Montreuil.;boulevard Périphérique intérieur est.
Belleville.;rue du Jourdain;20.0;138.0;XXe;rue des Pyrénées, 336, et rue des Rigoles, 90.;rue de Belleville, 134-138.
Pont de Flandre.;quai de Metz;14.0;108.0;XIXe;rue de Thionville, 35.;quai de la Marne, 52.
Pont de Flandre.;rue Émile Reynaud;25.0;300.0;XIXe;place Auguste Baron.;boulevard de la Commanderie.
Combat.;rue Jules Romains;20.0;131.0;XIXe;rue de Belleville, 15.;rue Rébeval, 24.
Necker.;place Raoul Dautry;0.0;0.0;XVe;à la rencontre du côté impair du boulevard de Vaugirard avec le côté pair de l'avenue du Maine.;
Bercy. Gare.;pont National;34.0;240.0;XIIe,XIIIe;quai de Bercy.;quai Panhard et Levassor, quai d'Ivry.
Gare.;rue Jean Arp;10.0;55.0;XIIIe;rue George Balanchine.;boulevard Vincent Auriol.
Sur le territoire de Saint-Maurice.;rue du Maréchal Leclerc;15.0;1150.0;Limitrophe;le long de la limite du bois de Vincennes.;
Javel.;quai d'Issy-les-Moulineaux;30.0;600.0;XVe;boulevard du Général Martial Valin et pont du Garigliano.;quai du Président Roosevelt à la limite du territoire d'Issy-les-Moulineaux.
Grandes Carrières.;rue Darwin;12.0;86.0;XVIIIe;rue des Saules, 39.;rue de la Fontaine du But, 6.
Muette.;rue de l'Annonciation;22.0;315.0;XVIe;rue Raynouard, 46.;place de Passy, 3.
Auteuil.;rue Pierre Guérin;10.0;380.0;XVIe;rue d'Auteuil, 30.;en impasse au-delà de la rue de la Source.
Gare;rue Ada Lovelace;;;XIIIe;place Grace Murray Hopper, 7.;parvis Alan Turing.
Clignancourt.;place Jeanne Bohec;;;XVIIIe;intersection des rues de Clignancourt, Poulet, Myhra et Christiani.;
Val de Grâce. Sorbonne.;rue Blainville;12.0;74.0;Ve;rue Mouffetard, 10.;rue Tournefort, 1 et place Emmanuel Levinas.
Sainte-Avoye.;rue Chapon;10.0;378.0;IIIe;rue du Temple, 113.;rue Saint-Martin, 230.
Halles.;rue Jean-Jacques Rousseau;15.0;380.0;Ier;rue Saint-Honoré, 158-164.;rue Étienne Marcel, 43 et rue Montmartre, 21.
Bonne Nouvelle.;rue Beauregard;10.0;274.0;IIe;rue Poissonnière, 14.;boulevard de Bonne Nouvelle, 5 bis, et rue de Cléry, 97.
Enfants Rouges. Archives.;rue de Poitou;12.0;234.0;IIIe;rue de Turenne, 95.;rue Charlot, 14.
Archives. Arsenal. Roquette. Saint-Ambroise.;boulevard Beaumarchais;35.0;750.0;IIIe,IVe,XIe;rue de la Bastille, 11, et boulevard Richard Lenoir, 1.;rue du Pont aux Choux, 1, et rue Saint-Sébastien, 2.
Saint-Merri.;rue Simon Le Franc;10.0;96.0;IVe;rue du Temple, 45.;rue du Renard, 26, et rue Beaubourg, 2.
Gros Caillou.;voie E/7;3.5;32.0;VIIe;rue Surcouf, 26.;en impasse.
Notre-Dame.;rue des Chantres;10.0;50.0;IVe;quai aux Fleurs, 11, et rue des Ursins, 1.;rue Chanoinesse, 10.
Saint-Gervais. Notre-Dame.;pont Louis-Philippe;15.0;100.0;IVe;quai de l'Hôtel de Ville.;quai de Bourbon.
Saint-Georges.;voie A/9;4.0;31.0;IXe;rue Pierre Fontaine, 34.;en impasse.
Maison Blanche.;rue des Orchidées;12.0;125.0;XIIIe;rue Brillat-Savarin, 36.;rue Auguste Lançon, 27.
Maison Blanche.;place Paul Verlaine;0.0;0.0;XIIIe;intersection des rues Bobillot, de la Butte aux Cailles et du Moulin des Prés, et comprise entre ces deux dernières voies.;
Pont de Flandre.;rue Colette Magny;8.0;206.0;XIXe;rue de Cambrai, 3ter.;rue Curial, 88.
Parc de Montsouris.;voie BF/14;10.0;490.0;XIVe;avenue Pierre de Coubertin.;autoroute A6.
Montparnasse.;impasse Cels;5.0;41.0;XIVe;rue Cels, 7.;en impasse.
Petit Montrouge.;villa Moderne;8.0;42.0;XIVe;rue des Plantes, 15.;en impasse
Pont de Flandre;place Charles Tillon;50.0;80.0;XIXe;Située au centre de l"avenue de la Porte d"Aubervilliers, entre la rue Jean Oberlé et le boulevard Macdonald.;
Champs Elysées.;place Paul-Emile Victor;0.0;0.0;VIIIe;intersection des rues François Ier, Quentin-Bauchart, Christophe Colomb et de l'avenue George V.;
Faubourg du Roule.;place Maurice Couve de Murville;7.0;38.0;VIIIe;terre-plein situé à l intersection de l avenue de Friedland, rue du Faubourg Saint-Honoré, et boulevard Haussmann.;
Pont de Flandre.;passage Susan Sontag;;78.5;XIXe;rue Cesaria Évora.;boulevard Macdonald, 189.
Hôpital Saint-Louis.;passage Roland Topor;5.5;32.0;Xe;avenue de Verdun, 18.;en impasse.
Maison Blanche.;rue Ernest Et Henri Rousselle;12.0;106.0;XIIIe;rue Henri Pape, 2 et rue Damesme, 16.;rue du Moulin des Prés, 69.
Montparnasse.;rue Cassini;12.0;207.0;XIVe;rue du Faubourg Saint-Jacques, 32.;avenue Denfert-Rochereau, 63.
Folie-Méricourt.;rue Rampon;9.75;227.0;XIe;boulevard Voltaire, 9.;avenue de la République.
Sainte-Marguerite.;cité Souzy;8.0;42.0;XIe;rue des Boulets, 39.;en impasse
Quinze-Vingts.;rue Crozatier;22.0;685.0;XIIe;place du Colonel Bourgoin, 1.;rue de Cotte, 28, et rue du Faubourg Saint-Antoine, 128.
Picpus.;carrefour de la Patte d'Oie;0.0;0.0;XIIe;intersection des routes de la Tourelle, de Bourbon, Dauphine, et de la route de la Demi Lune.;
Picpus.;rue Descos;20.0;45.0;XIIe;rue de Charenton.;avenue Daumesnil, 132.
Bercy.;rue Henri Desgrange;15.0;115.0;XIIe;rue de Bercy, 106.;rue Corbineau, 15.
Muette.;rue Louis Boilly;15.1;112.0;XVIe;avenue Raphaël, 20.;boulevard Suchet, 19.
Muette.;avenue des Chalets;6.0;100.0;XVIe;rue du Ranelagh, 101 bis.;rue de l'Assomption, 64.
Muette.;rue Louis David;9.0;195.0;XVIe;rue Scheffer, 43.;rue de la Tour, 72 bis.
Pont de Flandre.;villa Cantate;12.0;60.0;XIXe;rue Joseph Kosma.;en impasse.
Amérique.;voie U/19;1.2;49.0;XIXe;rue de Bellevue, 1.;en impasse.
Necker.;villa de l'Astrolabe;10.0;110.0;XVe;rue de Vaugirard, 119.;villa du Mont Tonnerre, 17.
Saint-Lambert.;rue de Dantzig;22.0;745.0;XVe;rue de la Convention, 238.;boulevard Lefebvre, 91.
Petit Montrouge.;cour des Ateliers;;;XIVe;boulevard Jourdan, 64.;en impasse.
Salpêtrière.;avenue Pierre Mendès France;40.0;650.0;XIIIe;boulevard Vincent Auriol, 24.;quai d'Austerlitz, 71.
Sainte-Marguerite.;place Mireille Havet;0.0;0.0;XIe;terre-plein central de la  rue du Faubourg Saint-Antoine, au droit du n° 225 et finissant rue Faidherbe et rue de Montreuil.;
Val de Grâce. Sorbonne.;rue de l'Estrapade;11.4;204.0;Ve;rue Tournefort, 2, et rue Thouin, et place Emmanuel Levinas.;place de l'Estrapade, 1.
Arts et Métiers. Bonne Nouvelle.;rue Greneta;12.0;465.0;IIe,IIIe;rue Saint-Martin, 241.;rue Montorgueil, 78.
Sainte-Avoye. Arts et Métiers. Saint-Merri.;rue Beaubourg;20.0;588.0;IIIe,IVe;rue Simon Le Franc, 14.;rue de Turbigo, 48.
Saint-Gervais.;passage Charlemagne;3.0;100.0;IVe;rue Charlemagne, 16.;rue Saint-Antoine, 119.
Saint-Gervais.;place Saint-Gervais;50.0;66.0;IVe;rue de Lobau, au débouché de la rue de Brosse et de la rue François Miron.;
Faubourg Montmartre.;voie G/9;4.0;66.0;IXe;rue du Faubourg Poissonnière, 5.;en impasse.
Saint-Thomas d'Aquin. Invalides. Ecole Militaire.;rue de Babylone;15.0;860.0;VIIe;boulevard Raspail, 46.;boulevard des Invalides, 35.
Saint-Thomas d'Aquin.;rue du Bac;20.0;1150.0;VIIe;quai Voltaire, 35, et quai Anatole France, 1.;rue de Sèvres, 24.
Ecole Militaire.;avenue de Villars;39.5;172.0;VIIe;place Vauban, 3.;rue d'Estrées, 2, et place du Président Mithouard, 2.
Madeleine.;rue Tronson Du Coudray;10.0;81.0;VIIIe;rue Pasquier, 25.;rue d'Anjou, 52.
Faubourg du Roule.;impasse Fortin;6.2;78.0;VIIIe;rue Frédéric Bastiat, 9.;
Europe.;rue Intérieure;18.0;95.0;VIIIe;cour du Havre, 5.;cour de Rome, 12.
Folie-Méricourt.;passage du Jeu de Boules;6.25;100.0;XIe;rue Amelot, 142-146.;rue de Malte, 43.
Saint-Ambroise.;rue Dranem;6.0;71.0;XIe;villa Gaudelet, 5.;avenue Jean Aicard, 15.
Roquette.;rue Duranti;13.0;285.0;XIe;rue Saint-Maur, 20.;rue de la Folie-Regnault, 59.
Saint-Ambroise.;passage de la Petite Voirie;3.8;23.0;XIe;rue du Marché Popincourt, 20.;rue Neuve Popincourt, 4.
Quinze-Vingts. Sainte-Marguerite. Roquette.;avenue Ledru-Rollin;30.0;1540.0;XIe,XIIe;quai de la Rapée, 96.;rue de la Roquette, 114 et rue Godefroy Cavaignac, 49.
Sainte-Marguerite. Picpus.;avenue du Trône;84.0;56.0;XIe,XIIe;place de la Nation, 19-30.;boulevard de Charonne, 1, et boulevard de Picpus, 89.
Picpus.;rue Bignon;22.0;90.0;XIIe;rue de Charenton, 193.;avenue Daumesnil, 132.
Petit Montrouge.;rue Alphonse Daudet;12.0;170.0;XIVe;rue Sarrette, 30.;avenue du Général Leclerc, 89.
Plaisance.;place de Moro-Giafferi;0.0;0.0;XIVe;au débouché de la rue Didot, côté pair, sur la rue du Château.;
Plaisance.;rue Crocé-Spinelli;10.0;117.0;XIVe;rue Vercingétorix, 61.;rue de l'Ouest, 80 bis.
Amérique. Pont de Flandre.;boulevard Sérurier;40.0;2550.0;XIXe;rue de Belleville, 353, et avenue de la Porte des Lilas.;boulevard Macdonald (canal de l'Ourcq).
Saint-Lambert.;rue Alphonse Bertillon;15.0;260.0;XVe;rue de la Procession, 96.;rue de Vouillé, 61.
Saint-Lambert.;rue Corbon;15.0;140.0;XVe;rue d'Alleray, 40.;place Charles Vallin.
Grandes Carrières.;rue Joseph De Maistre;11.0;944.0;XVIIIe;rue Lepic, 31 et place Anne-Marie Carrière.;rue Championnet, 217-221.
Goutte d'Or.;rue Boris Vian;4.0;75.0;XVIIIe;rue de Chartres, 18.;rue Polonceau, 7.
Charonne.;voie EH/20;10.0;150.0;XXe;boulevard Périphérique intérieur est.;place de la Porte de Montreuil.
Saint-Fargeau. Père Lachaise.;avenue Gambetta;20.0;2280.0;XXe;place Auguste Métivier, 6.;boulevard Mortier, et rue de Belleville, 328.
Charonne.;allée Marie Laurent;10.0;143.0;XXe;rue de Buzenval.;rue Mounet-Sully, 15.
Saint-Lambert.;rue Nanteuil;12.0;180.0;XVe;rue Brancion, 19.;rue Saint-Amand, 16.
Necker.;impasse Ronsin;8.0;125.0;XVe;rue de Vaugirard, 150.;
Auteuil.;place Paul Beauregard;0.0;0.0;XVIe;à l'intersection de l'avenue Théophile Gautier et des rues de Rémusat, George Sand et Leconte de Lisle.;
Auteuil.;rue du Général Grossetti;15.0;65.0;XVIe;rue du Général Malleterre, 1.;boulevard Murat, 142.
Muette.;rue Guichard;10.0;100.0;XVIe;rue de Passy, 70.;place Possoz, 1 et avenue Paul Doumer, 83.
Necker.;cité Falguière;7.0;67.0;XVe;rue Falguière, 72.;en impasse
Saint-Lambert.;rue Leriche;12.0;203.0;XVe;rue de Vaugirard, 375 bis.;rue Olivier de Serres, 48.
Muette.;porte de la Seine;0.0;0.0;XVIe;au débouché de l'allée du Bord de l'Eau et du chemin de la Seine à Bagatelle sur le boulevard Richard Wallace et le pont de Puteaux, en bordure du bois de Boulogne.;
Porte Dauphine.;voie AY/16;9.0;430.0;XVIe;boulevard Périphérique intérieur ouest.;avenue Charles de Gaulle (Neuilly-sur-Seine).
Chaillot.;rue de Belloy;12.0;85.0;XVIe;rue Dumont d'Urville, 1, et place des Etats-Unis, 16.;avenue Kléber, 37.
Muette.;rue Jean Richepin;12.0;153.0;XVIe;rue de la Pompe, 39.;boulevard Émile Augier, 40-46.
Grandes Carrières.;rue Arthur Ranc;18.0;145.0;XVIIIe;boulevard Ney, 166.;rue Henri Huchard, 13.
Auteuil.;route du Point Du Jour À Suresnes;0.0;800.0;XVIe;route de la Seine à la Butte Mortemart.;route de Sèvres à Neuilly.
Clignancourt.;rue Nobel;12.0;57.0;XVIIIe;rue Caulaincourt, 119.;rue Francoeur, 9.
Clignancourt.;rue Berthe;7.3;200.0;XVIIIe;rue Drevet, 3.;place Émile Goudeau, 16, et rue Ravignan, 18.
Saint-Victor. Sorbonne.;rue du Haut Pavé;12.0;28.0;Ve;quai de Montebello, 9.;rue des Grands Degrés, 10 et rue de la Bûcherie, 2.
Odéon. Notre-Dame des Champs. Saint-Germain des Prés.;rue du Four;22.0;400.0;VIe;place d'Acadie.;place Michel Debré, 1 et rue du Dragon, 1.
Palais Royal.;passage des Deux Pavillons;2.2;33.0;Ier;rue de Beaujolais, 6.;rue des Petits Champs, 5.
Mail.;rue des Jeûneurs;15.0;370.0;IIe;rue Poissonnière, 5.;rue Montmartre, 156.
Sainte-Avoye.;passage des Gravilliers;3.6;54.0;IIIe;rue Chapon, 10.;rue des Gravilliers, 19.
Sainte-Avoye.;passage du Maure;5.0;70.0;IIIe;rue Beaubourg, 33.;rue Brantôme.
Ecole Militaire.;rue Éblé;20.0;200.0;VIIe;boulevard des Invalides, 46.;avenue de Breteuil, 39-53.
Saint-Gervais.;rue Ferdinand Duval;12.0;135.0;IVe;rue de Rivoli, 18.;rue des Rosiers, 7.
Plaine de Monceaux. Batignolles.;rue de Lévis;10.0;550.0;XVIIe;avenue de Villiers, 4 et place Prosper Goubaux, 2.;rue Cardinet, 100 et rue de Tocqueville, 64.
Ternes. Plaine de Monceaux.;rue Rennequin;10.0;575.0;XVIIe;rue Poncelet, 51 et avenue de Wagram, 85.;rue Guillaume Tell, 22.
Batignolles.;rue de Saussure;15.0;1260.0;XVIIe;rue des Dames, 94.;boulevard Berthier.
Batignolles.;rue Tarbé;10.0;74.0;XVIIe;rue de Saussure, 74.;rue Cardinet, 138.
Clignancourt.;rue Lécuyer;10.0;95.0;XVIIIe;rue Ramey, 41.;rue Custine, 48.
Grandes Carrières.;rue Leibniz;9.5;720.0;XVIIIe;rue du Poteau, 91.;avenue de Saint-Ouen, 132.
Charonne.;voie EZ/20;11.0;90.0;XXe;place EK/20.;place DC/12.
Charonne.;passage Beaufils;3.0;10.0;XXe;rue du Volga, 13.;rue d'Avron, 82.
Charonne.;rue des Grands Champs;12.0;774.0;XXe;boulevard de Charonne, 30, et rue des Ormeaux, 2.;rue du Volga, 48.
Charonne.;place de la Porte de Montreuil;0.0;0.0;XXe;avenue de la Porte de Montreuil.;
Charonne.;rue Henri Duvernois;12.0;470.0;XXe;rue Louis Lumière, 74.;rue Serpollet, 25.
Charonne.;voie EL/20;10.0;170.0;XXe;boulevard Périphérique extérieur est.;autoroute A3.
Saint-Victor. Sorbonne. Monnaie. Odéon. Saint-Germain des Prés. Saint-Thomas d'Aquin. Invalides.;boulevard Saint-Germain;30.0;3150.0;Ve,VIe,VIIe;rue des Fossés Saint-Bernard, 2, et quai de la Tournelle, 1.;rue Aristide Briand, 1, et quai Anatole France, 31.
Notre-Dame des Champs.;rue Joseph Bara;12.0;169.0;VIe;rue d'Assas, 108.;rue Notre-Dame des Champs, 95.
Gare.;cour du Liégat;6.6;86.0;XIIIe;rue du Chevaleret, 113.;en impasse
Ecole Militaire.;rue Masseran;17.5;122.0;VIIe;rue Eblé, 5.;rue Duroc, 6-10.
Ecole Militaire. Gros Caillou.;place de l'École Militaire;0.0;0.0;VIIe;intersection des avenues Bosquets, Duquesne, de Tourville, de La Bourdonnais, de La Motte-Picquet et de la place Joffre.;
Faubourg du Roule.;voie B/8;3.0;35.0;VIIIe;rue La Boétie, 70.;en impasse
Champs Elysées.;rue Bayard;14.6;287.0;VIIIe;cours Albert Ier, 16.;avenue Montaigne, 42.
Hôpital Saint-Louis.;rue Vicq d'Azir;12.0;240.0;Xe;rue de la Grange aux Belles, 22, et rue Juliette Dodu, 22.;boulevard de la Villette, 65.
Auteuil.;rue Degas;12.0;135.0;XVIe;quai Louis Blériot, 40.;rue Félicien David, 23.
Bel Air. Picpus.;rue de Picpus;18.0;1835.0;XIIe;rue du Faubourg Saint-Antoine, 254.;boulevard Poniatowski, 99.
Bercy.;rue de Pommard;12.0;220.0;XIIe;rue de Dijon.;rue de Bercy, 41.
Necker.;place Henri Queuille;0.0;0.0;XVe;boulevard Pasteur, au débouché de l'avenue de Breteuil et de la rue de Sèvres.;
Muette.;avenue Prudhon;27.5;190.0;XVIe;avenue du Ranelagh et chaussée de la Muette.;avenue Raphaël.
Maison Blanche.;rue Henri Becque;12.0;100.0;XIIIe;rue Brillat-Savarin, 97, et Boussingault.;rue de l'Amiral Mouchez, 13.
Maison Blanche.;rue Gandon;12.0;345.0;XIIIe;rue Caillaux, 15-19.;boulevard Masséna, 146.
Combat.;passage du Plateau;1.0;105.0;XIXe;rue du Plateau, 8.;rue du Tunnel, 11.
Combat.;allée Diane De Poitiers;3.0;228.0;XIXe;rue de Belleville, 21.;rue Rébeval, 36.
Javel.;voie C/15;6.0;24.0;XVe;rue de Lourmel, 103.;en impasse.
Roquette.;rue du Commandant Lamy;10.0;105.0;XIe;rue de la Roquette, 45-49.;rue Sedaine, 30 bis.
Sainte-Marguerite.;impasse Morlet;3.8;100.0;XIe;rue de Montreuil, 113.;
Sainte-Marguerite.;passage Turquetil;5.0;235.0;XIe;rue de Montreuil, 93.;avenue Philippe-Auguste, 43.
Picpus.;impasse des Arts;10.0;55.0;XIIe;rue du Pensionnat, 3.;
Bel Air.;route des Pelouses Marigny;5.0;280.0;XIIe;avenue Foch (Vincennes).;avenue de Nogent.
Bel Air.;rue du Niger;10.0;240.0;XIIe;boulevard Soult, 113.;avenue de Saint-Mandé, 92.
Bel Air.;rue du Sahel;12.0;570.0;XIIe;boulevard de Picpus, 30.;boulevard Soult, 69.
Bercy.;rue des Fonds Verts;9.0;84.0;XIIe;rue Proudhon, 44, et rue Coriolis, 36.;rue de Charenton, 264.
Saint-Georges.;square La Bruyère;10.0;43.0;IXe;rue Jean-Baptiste Pigalle, 19.;en impasse
Parc de Montsouris.;voie BC/14;10.0;330.0;XIVe;autoroute A6.;boulevard Périphérique intérieur sud.
Petit Montrouge.;rue Auguste Cain;10.0;145.0;XIVe;avenue Jean Moulin, 56.;rue des Plantes, 67.
Plaisance.;rue Wilfrid Laurier;15.0;104.0;XIVe;boulevard Brune, 10.;avenue Marc Sangnier.
Salpêtrière.;rue Coypel;14.0;134.0;XIIIe;boulevard de l'Hôpital, 142.;avenue des Gobelins, 75.
Maison Blanche.;villa Daviel;6.0;113.0;XIIIe;rue Daviel, 7.;en impasse
Gare.;rue Olivier Messiaen;18.0;170.0;XIIIe;rue Thomas Mann, 26.;rue Neuve Tolbiac, 29.
Bonne Nouvelle.;impasse Saint-Denis;2.0;88.0;IIe;rue Saint-Denis, 177.;
Enfants Rouges.;rue Caffarelli;10.0;78.0;IIIe;rue de Bretagne, 44.;rue Perrée, 3.
Sur le territoire d'Issy-les-Moulineaux.;rue Camille Desmoulins;15.0;900.0;Limitrophe;dans le prolongement de la rue Henry Farman sise à Paris (XVe ardt), en bordure du parc de sports et de loisirs, de l'EDF et de l'Héliport de Paris-Issy.;
Saint-Victor.;rue Cochin;12.0;62.0;Ve;rue de Poissy, 4.;rue de Pontoise, 3.
Odéon.;rue du Canivet;10.0;45.0;VIe;rue Servandoni, 10.;rue Férou, 5 et Henry de Jouvenel, 3.
Monnaie.;rue de l'Éperon;10.0;130.0;VIe;rue Saint-André des Arts, 41.;rue Danton, 10, et boulevard Saint-Germain, 120.
Saint-Germain des Prés.;rue Gozlin;10.0;60.0;VIe;rue des Ciseaux, 2.;place du Québec, 41 et rue Bonaparte, 43.
Notre-Dame des Champs.;rue Péguy;12.45;68.0;VIe;rue Stanislas, 11.;boulevard du Montparnasse, 93.
Belleville.;Belvédère Willy Ronis;;;XXe;rue Piat, 7.;rue Piat, 33.
Saint-Thomas d'Aquin.;rue Paul-Louis Courier;9.74;96.0;VIIe;place René Char.;rue de Saint-Simon, 3.
Gros Caillou.;rue Joseph Granier;12.0;88.0;VIIe;rue Louis Codet, 3.;avenue de Tourville, 8.
Gros Caillou.;rue Valadon;10.0;109.0;VIIe;rue de Grenelle, 167.;rue du Champ de Mars, 10.
Ecole Militaire. Necker.;rue Pérignon;15.0;310.0;VIIe,XVe;avenue de Saxe, 48.;boulevard Garibaldi, 35.
Champs Elysées.;impasse Bourdin;3.0;68.0;VIIIe;rue de Marignan, 3.;
Faubourg du Roule. Europe.;place du Général Brocard;35.0;52.0;VIIIe;intersection des rues de Courcelles et Alfred de Vigny et des avenues Hoche et Van Dyck.;
Montparnasse.;rue du Maine;10.0;166.0;XIVe;rue de la Gaîté, 8.;avenue du Maine, 45.
Bel Air.;route de l'Esplanade;12.0;320.0;XIIe;esplanade Saint-Louis.;route de la Tourelle.
Madeleine.;place de la Madeleine;128.0;218.0;VIIIe;rue Royale, 24-27.;rue Tronchet, 1-2.
Europe. Saint-Georges.;rue de Liège;12.0;400.0;VIIIe,IXe;rue de Clichy, 37.;place de l'Europe-Simone Veil.
Porte Saint-Martin. Hôpital Saint-Louis.;quai de Valmy;11.5;1720.0;Xe;rue du Faubourg du Temple, 27.;rue La Fayette, 230.
Chapelle.;rue Moussorgsky;10.0;145.0;XVIIIe;rue de l'Évangile, 43.;en impasse
Père Lachaise.;rue des Panoyaux;8.0;495.0;XXe;boulevard de Ménilmontant, 130.;rue des Plâtrières.
Amérique.;rue Raoul Wallenberg;20.0;216.0;XIXe;avenue de la Porte des Lilas, 19.;avenue René Fonck, 18.
Saint-Fargeau.;villa Sainte-Marie;4.0;83.0;XXe;place de l'Adjudant Vincenot, 9, et boulevard Mortier, 97.;en impasse
Batignolles.;rue Caroline;8.0;113.0;XVIIe;rue Darcet, 7.;rue des Batignolles, 6.
Epinettes. Batignolles.;rue Clairaut;9.6;210.0;XVIIe;avenue de Clichy, 111.;en impasse au-delà de la rue Lemercier.
Epinettes.;rue Roberval;12.0;42.0;XVIIe;rue Baron, 5.;rue des Epinettes, 8.
Goutte d'Or.;rue Émile Duployé;6.0;180.0;XVIIIe;rue Stephenson, 53.;rue Marcadet, 3.
Auteuil.;rue Bastien Lepage;12.0;52.0;XVIe;rue Pierre Guérin, 11 bis.;rue Jean de La Fontaine, 79.
Muette.;square Mozart;12.0;77.0;XVIe;avenue Mozart, 28-28 bis.;en impasse
Auteuil.;boulevard Murat;40.0;1930.0;XVIe;place de la Porte d'Auteuil et rue d'Auteuil, 83.;quais Saint-Exupéry, et Louis Blériot, 182.
Chaillot.;voie U/16;7.0;78.0;XVIe;avenue Kléber, 60.;en impasse
Saint-Lambert.;rue d'Oradour-Sur-Glane;30.0;320.0;XVe;rue de la Porte d'Issy.;avenue Ernest Renan.
Javel.;rue Leblanc;12.0;1360.0;XVe;place du Moulin de Javel.;place Robert Guillemard.
Folie-Méricourt.;rue Auguste Barbier;10.0;110.0;XIe;rue de la Fontaine au Roi, 35.;avenue Parmentier, 125.
Roquette.;rue de Mont-Louis;10.0;125.0;XIe;rue de la Folie-Regnault, 30.;boulevard de Ménilmontant, 1 et boulevard de Charonne, 151.
Picpus.;voie AS/12;4.0;9.0;XIIe;rue des Colonnes du Trône, 14.;en impasse
Quinze-Vingts.;passage de la Boule Blanche;3.7;80.0;XIIe;rue de Charenton, 47.;rue du Faubourg Saint-Antoine, 50.
Gare.;rue Clisson;12.0;550.0;XIIIe;rue du Chevaleret, 171.;place Nationale, et rue Lahire, 26.
Gare.;rue Abel Gance;15.0;190.0;XIIIe;quai de la Gare.;avenue de France.
Madeleine. Faubourg du Roule. Europe.;rue La Boëtie;20.0;1080.0;VIIIe;rue d'Astorg, 33 et place Saint-Augustin, 3.;avenue des Champs Élysées, 60.
Faubourg du Roule.;rue Arsène Houssaye;11.7;260.0;VIIIe;avenue des Champs Élysées, 152.;rue Beaujon, 3.
Europe.;rue de Laborde;12.0;490.0;VIIIe;rue Joseph Sansboeuf, 7 et du Rocher, 15.;boulevard Haussmann, 132 et rue de Miromesnil, 58.
Madeleine.;cité du Retiro;4.0;236.0;VIIIe;rue du Faubourg Saint-Honoré, 30.;rue Boissy d'Anglas, 35.
Porte Saint-Martin.;rue Albert Thomas;9.74;265.0;Xe;rue Léon Jouhaux, 5.;place Jacques Bonsergent, 2, et rue de Lancry, 32.
Mail.;rue du Croissant;10.0;177.0;IIe;rue du Sentier, 13.;rue Montmartre, 144.
Palais Royal.;place André Malraux;0.0;0.0;Ier;au débouché de l"avenue de l"Opéra, et comprise entre la rue Saint-Honoré, rue de Montpensier, rue de Richelieu, et place Colette.;
Saint-Germain l'Auxerrois. Halles.;rue des Lavandières Sainte-Opportune;15.0;178.0;Ier;avenue Victoria, 24 et rue Saint-Germain l'Auxerrois, 2.;rue des Halles, 7.
Jardin des Plantes.;rue du Père Teilhard de Chardin;6.0;54.0;Ve;rue des Patriarches, 6 et passage des Patriarches, 4.;rue de l'Épée de Bois, 15.
Notre-Dame des Champs. Saint-Thomas d'Aquin.;place Le Corbusier;0.0;0.0;VIe,VIIe;intersection formé par le boulevard Raspail, les rues de Sèvres et de Babylone.;
Gare.;rue de Richemont;8.0;45.0;XIIIe;rue de Domrémy, 53 et place Serge Poliakoff.;rue de Tolbiac, 58-62.
Croulebarbe.;square de Port-Royal;13.0;126.0;XIIIe;rue de la Santé, 15.;en impasse
Gare.;villa Tolbiac;4.0;100.0;XIIIe;rue de Tolbiac, 67.;en impasse
